Serial,Item,Description,File_Extensions,Category,Comments
114,Content Management - ADAM,"A content management system offered by ADAM.", "N/A","Technology","No committable file type."
115,Content Management - AdobeCG5,"Adobe’s content management platform (formerly CQ5).", ".jsp (ambiguous), .xml (ambiguous)","Technology","Uses common web file types."
116,Content Management - Alfresco,"An open-source enterprise content management system.", "N/A","Technology","No file extension."
117,Content Management - Drupal,"An open-source content management framework.", ".php (ambiguous), .twig (ambiguous)","Technology","Uses common web file types."
118,Content Management - Interwoven/Teamsite,"An enterprise content management system by Interwoven.", "N/A","Technology","No associated file extension."
119,Content Management - OWC Sites(Fatwire)/OWC Content,"Oracle WebCenter Sites (formerly Fatwire) for web content management.", "N/A","Technology","No file extension."
120,Content Management - Sitecore,"A digital experience and content management system.", "N/A","Technology","No committable file type."
121,Content Management – Tridion,"SDL Tridion is a web content management system for enterprises.", "N/A","Technology","No associated file extension."
122,Coremetrics,"A web analytics solution for tracking digital interactions.", "N/A","Technology","No file extension."
123,Cucumber,"A testing tool for behavior-driven development (BDD).", ".feature (exclusive)","Technology",".feature files are specific to Cucumber."
124,Cyara - User Experience Testing,"A platform for automated testing of customer experience applications.", "N/A","Technology","No file extension."
125,Data Governance, Protection & Data Management,"Practices and tools for managing data quality, security, and compliance.", "N/A","Method","Conceptual area; not file-based."
126,Data modelling and architecture,"The design and structure of data systems and databases.", "N/A","Method","Concept/methodology; no file extension."
127,Data Stax Drivers,"Drivers provided by DataStax for connecting to Apache Cassandra.", "N/A","Technology","No committable file type."
128,Datalink (Vendor - Datalink),"A data integration and connectivity tool.", "N/A","Technology","No file extension."
129,DataStage,"IBM's ETL tool for data integration and transformation.", "N/A","Technology","No associated file extension."
130,DevOps,"Practices that combine software development and IT operations for faster delivery.", "N/A","Method","Concept; not file-based."
131,Drools,"A business rules management system by JBoss for decision automation.", ".drl (ambiguous)","Technology","Uses .drl rule files, though the extension is generic."
132,Dynatrace - Performance Engineering Analysis,"A software intelligence platform for performance monitoring and analytics.", "N/A","Technology","No file extension."
133,EASYTRIEVE +,"A legacy report writer and programming language used for mainframe data processing.", ".etl (ambiguous)","Technology","Extension used for Easytrieve programs."
134,EMC Captiva,"A document capture and imaging software solution.", "N/A","Technology","No associated file extension."
135,EMC Documentum,"An enterprise content management platform by EMC.", "N/A","Technology","No file extension."
136,Essbase,"A multidimensional database management system for OLAP by Oracle.", "N/A","Technology","No associated file extension."
137,ETL/Database testing,"Testing processes focused on data extraction, transformation, and loading.", "N/A","Method","Methodology; no file-based component."
138,Ext JS,"A JavaScript framework for building interactive web applications.", ".js (ambiguous)","Technology","Uses standard web file types."
139,Fidelity Touchpoint,"An investment management platform for financial services.", "N/A","Technology","No file extension."
140,Fidessa,"A trading and investment management platform.", "N/A","Technology","No associated file extension."
141,Filenet,"IBM's enterprise content management software.", "N/A","Technology","No file extension."
142,Financial Transaction Manager,"Software for managing and processing financial transactions.", "N/A","Technology","No committable file type."
143,Finastra - Global Cash Plus,"A core banking solution by Finastra for cash management.", "N/A","Technology","No file extension."
144,Finastra - Global Pay Plus,"A payment processing solution by Finastra.", "N/A","Technology","No associated file extension."
145,Finastra LoanIQ,"A loan processing and management software solution.", "N/A","Technology","No file extension."
146,Finastra TI Plus,"A treasury and investment management software by Finastra.", "N/A","Technology","No file extension."
147,Firewall Administration,"The administration and configuration of network firewalls.", "N/A","Method","Methodology; not file-based."
148,Fiserv Recon/Frontier,"A financial reconciliation software solution from Fiserv.", "N/A","Technology","No file extension."
149,Fitnesse,"A collaborative testing tool for software acceptance testing.", "N/A","Technology","No associated file extension."
150,FIX - Financial Information Exchange,"An electronic communication protocol for the exchange of financial information.", "N/A","Technology","Protocol – not a file-based technology."
151,Focus,"An ambiguous term that may refer to a programming language or UI framework.", "N/A","Technology","Unclear context; no file extension."
152,FORTRAN,"A high-level programming language used for scientific and numerical computing.", ".f (ambiguous), .for (ambiguous)","Technology","Common file extensions, but not exclusive."
153,Fujitsu iFlow,"An integration and process automation tool by Fujitsu.", "N/A","Technology","No file extension."
154,Fujitsu Interstage,"A middleware and integration platform from Fujitsu.", "N/A","Technology","No associated file extension."
155,Gasper,"An ambiguous item with unclear context; could be a tool or technology.", "N/A","Technology","No file extension due to unclear reference."
156,Genesys IVR,"An interactive voice response system by Genesys for customer service.", "N/A","Technology","No file extension."
157,Gigaspace,"An in-memory computing platform for data processing and analytics.", "N/A","Technology","No file extension."
158,GLOSS,"A tool or system likely related to data management or reporting; context unclear.", "N/A","Technology","Ambiguous – no file extension."
159,Greenplum,"An open-source massively parallel processing (MPP) database.", "N/A","Technology","No associated file extension."
160,Groovy,"A dynamic programming language for the Java platform.", ".groovy (exclusive), .gvy (ambiguous)","Technology",".groovy is exclusive to Groovy scripts."
161,Grunt,"A JavaScript task runner used for automation.", ".js (ambiguous)","Technology","Uses common web file types."
162,Guardium,"IBM's solution for data security and protection.", "N/A","Technology","No file extension."
163,GWT,"Google Web Toolkit for building complex web applications in Java.", ".java (ambiguous), .gwt.xml (ambiguous)","Technology","Uses standard Java and XML file types."
164,Hadoop,"An open-source framework for distributed storage and processing of big data.", "N/A","Technology","No file extension."
165,Hbase,"A distributed, scalable, big data store modeled after Google Bigtable.", "N/A","Technology","No associated file extension."
166,HDFS,"The Hadoop Distributed File System for large-scale data storage.", "N/A","Technology","No file extension."
167,Hibernate,"An object-relational mapping (ORM) tool for Java.", ".hbm.xml (ambiguous)","Technology","Uses XML mapping files which are generic."
168,Hive,"A data warehouse infrastructure built on Hadoop.", ".hql (ambiguous)","Technology","Hive query files are generic."
169,HP Exstream,"A customer communications management solution by HP.", "N/A","Technology","No file extension."
170,HP LoadRunner,"A performance testing tool by Micro Focus (formerly HP).", "N/A","Technology","No associated file extension."
171,Hyperion,"An enterprise performance management suite by Oracle.", "N/A","Technology","No file extension."
172,IBM AppScan,"An application security testing tool by IBM.", "N/A","Technology","No file extension."
173,IBM Basic Assembler,"An assembly language programming environment from IBM.", ".asm (ambiguous)","Technology",".asm is a common extension for assembler code."
174,IBM BPM,"IBM's Business Process Management platform.", "N/A","Technology","No associated file extension."
175,IBM Build Forge,"A build and release automation tool by IBM.", "N/A","Technology","No file extension."
176,IBM Business Activity Monitor,"A tool for real-time monitoring of business processes.", "N/A","Technology","No file extension."
177,IBM Business Glossaries,"A tool for managing business terms and definitions.", "N/A","Technology","No committable file type."
178,IBM ClearQuest,"A change management and defect tracking tool by IBM.", "N/A","Technology","No file extension."
179,IBM Connections,"An enterprise social networking and collaboration platform by IBM.", "N/A","Technology","No file extension."
180,IBM Content Collector,"Software for capturing and managing enterprise content.", "N/A","Technology","No associated file extension."
181,IBM Content Management On Demand (CMOD),"IBM’s enterprise content management solution for on-demand publishing.", "N/A","Technology","No file extension."
182,IBM Content Manager,"An enterprise content management system.", "N/A","Technology","No file extension."
183,IBM Datapower,"An integration, security, and control appliance for enterprise IT.", "N/A","Technology","No associated file extension."
184,IBM ESB,"IBM's Enterprise Service Bus for application integration.", "N/A","Technology","No file extension."
185,IBM IFW (Information Framework), BDW (Banking Data Warehouse),"IBM frameworks for information management and banking data warehousing.", "N/A","Technology","No file extension."
186,IBM iLog/ODM,"IBM Operational Decision Manager (formerly ILOG) for business rules management.", "N/A","Technology","No associated file extension."
187,IBM InfoSphere DataStage,"An ETL tool for data integration by IBM.", "N/A","Technology","No file extension."
188,IBM Infosphere Suite - Fasttrack,"A data integration and management solution by IBM.", "N/A","Technology","No file extension."
189,IBM Infosphere Suite - Information Analyzer,"A tool for data profiling and quality analysis.", "N/A","Technology","No file extension."
190,IBM Infosphere Suite - Metadatawork bench,"A metadata management tool within IBM Infosphere.", "N/A","Technology","No file extension."
191,IBM Integration Bus(IIB)/ IBM WebSphere Message Broker,"An integration broker for enterprise application connectivity.", "N/A","Technology","No file extension."
192,IBM Master Data Management,"A solution for managing and synchronizing master data across systems.", "N/A","Technology","No file extension."
193,IBM MetaData Tool,"A tool for managing enterprise metadata.", "N/A","Technology","No associated file extension."
194,IBM Optim Archive & Implementation Engg,"A solution for data archiving and implementation engineering.", "N/A","Technology","No file extension."
195,IBM PIM (Privileged Identity Manager),"A tool for managing privileged accounts and access in an organization.", "N/A","Technology","No file extension."
196,IBM Q Radar,"A security intelligence and analytics platform by IBM.", "N/A","Technology","No file extension."
197,IBM Rational Software Architect,"A design and modeling tool for software development.", "N/A","Technology","No associated file extension."
198,IBM RIT,"An IBM tool for integration testing.", "N/A","Technology","No file extension."
199,IBM uBuild,"A build automation and software configuration management tool by IBM.", "N/A","Technology","No file extension."
200,IBM uDeploy,"A deployment automation tool by IBM.", "N/A","Technology","No file extension."
201,IBM WBE,"IBM WebSphere Business Events platform.", "N/A","Technology","No file extension."
202,IBM WCC,"IBM Web Content Collector.", "N/A","Technology","No associated file extension."
203,IBM Websphere Operational Decision Management(WODM),"IBM's decision management system for operational decisions.", "N/A","Technology","No file extension."
204,IBM Websphere Operational Decision Management(WODM)-Architect,"The architecture tool for IBM's WODM.", "N/A","Technology","No file extension."
205,IBM WebSphere portal,"An enterprise portal solution by IBM.", "N/A","Technology","No file extension."
206,IBM WebSphere Process Server,"A platform for integrating business processes.", "N/A","Technology","No file extension."
207,IBM WMB,"IBM WebSphere Message Broker.", "N/A","Technology","No associated file extension."
208,IBM WSRR,"IBM WebSphere Service Registry and Repository.", "N/A","Technology","No file extension."
209,iLOG,"A business rules management system (often related to IBM ILOG).", "N/A","Technology","No file extension."
210,IM5DB,"A database system; specific details are unclear.", "N/A","Technology","No file extension."
211,Informatica,"A data integration and ETL software suite.", "N/A","Technology","No associated file extension."
212,Informatica MDM RE (IR - Identity Resolution),"Informatica’s Master Data Management and Identity Resolution solution.", "N/A","Technology","No file extension."
213,Information architecture,"The structural design of shared information environments.", "N/A","Method","Concept; not file-based."
214,Informix,"A relational database management system by IBM.", "N/A","Technology","No file extension."
215,Interwoven,"Enterprise content management and collaboration software.", "N/A","Technology","No associated file extension."
216,iOS,"Apple's mobile operating system for iPhone and iPad.", ".ipa (exclusive)","Technology",".ipa files are exclusive to iOS apps."
217,jBPM,"An open-source business process management suite from JBoss.", ".bpmn (ambiguous), .xml (ambiguous)","Technology","Uses standard BPM file types."
218,Jrules developer,"A development environment for creating business rules (often related to ILOG).", "N/A","Technology","No file extension."
219,KDB (Kx Systems),"A high-performance time-series database system.", "N/A","Technology","No associated file extension."
220,Kofax,"An automation and document processing software suite.", "N/A","Technology","No file extension."
221,Lectora (elearning Technology),"An e-learning authoring tool for creating interactive courses.", "N/A","Tool","No specific file extension identified."
222,Life Ray,"An enterprise portal and collaboration software platform.", "N/A","Technology","No file extension."
223,Lombardi,"A business process management software solution (now part of IBM).", "N/A","Technology","No associated file extension."
224,Mahout,"An open-source machine learning library primarily for Hadoop.", "N/A","Technology","No file extension."
225,MapReduce,"A programming model for processing large data sets in parallel.", "N/A","Technology","Concept – not associated with a file extension."
226,Mark 1V,"An ambiguous item; possibly referring to a legacy system or tool.", "N/A","Technology","No file extension due to unclear context."
227,McAfee End Point Security,"Security software for protecting endpoints from threats.", "N/A","Technology","No associated file extension."
228,Metacenter,"A centralized monitoring and management tool.", "N/A","Technology","No file extension."
229,Metamatrix,"A data governance and metadata management software solution.", "N/A","Technology","No file extension."
230,Metric Stream,"A Governance, Risk and Compliance (GRC) software platform.", "N/A","Technology","No associated file extension."
231,Microstrategy,"A business intelligence and analytics platform.", "N/A","Technology","No file extension."
232,Mobile Device Infrastructure,"Systems and tools for managing mobile devices and connectivity.", "N/A","Technology","No committable file type."
233,MS BI,"Microsoft Business Intelligence solutions for data analytics.", "N/A","Technology","No file extension."
234,MS Dynamic CRM,"Microsoft's customer relationship management (CRM) solution.", "N/A","Technology","No file extension."
235,Mule ESB,"An integration platform and enterprise service bus by MuleSoft.", "N/A","Technology","No associated file extension."
236,Murex - Risk Management Product,"An integrated platform for trading, risk, and processing by Murex.", "N/A","Technology","No file extension."
237,NAS,"Network Attached Storage devices for centralized data storage.", "N/A","Technology","Hardware/technology – no file extension."
238,Netezza,"A data warehouse appliance provided by IBM.", "N/A","Technology","No associated file extension."
239,NICE,"A software suite for customer engagement and analytics.", "N/A","Technology","No file extension."
240,Node.JS,"A JavaScript runtime built on Chrome's V8 engine for server-side development.", ".js (ambiguous), .json (ambiguous)","Technology","Uses standard web file types."
241,NoSQL DB,"Non-relational database systems used for flexible data models.", "N/A","Technology","Concept – no exclusive file extension."
242,OBIEE,"Oracle Business Intelligence Enterprise Edition.", "N/A","Technology","No associated file extension."
243,OBPM,"Oracle Business Process Management.", "N/A","Technology","No file extension."
244,OHRMS,"Oracle Human Resource Management System.", "N/A","Technology","No file extension."
245,Oozie,"A workflow scheduler system for managing Hadoop jobs.", "N/A","Technology","No associated file extension."
246,OpenLink Endur,"An energy trading and risk management software solution.", "N/A","Technology","No file extension."
247,OpenText (Vignette) - Enterprise Content Management,"An enterprise content management solution by OpenText.", "N/A","Technology","No file extension."
248,OpenVMS,"An operating system for enterprise servers and mainframes.", "N/A","Technology","No associated file extension."
249,Optim,"A data management and performance optimization tool.", "N/A","Technology","No file extension."
250,Oracle ADF,"Oracle Application Development Framework for building enterprise apps.", ".jspx (ambiguous)","Technology","Uses Java Server Pages; extension is not exclusive."
251,Oracle BPM,"Oracle's Business Process Management solution.", "N/A","Technology","No file extension."
252,Oracle EXADATA,"Oracle's high-performance database machine for analytics.", "N/A","Technology","No associated file extension."
253,ORACLE FINANCIAL,"Oracle's suite of financial software solutions.", "N/A","Technology","No file extension."
254,Oracle Flexcube,"A core banking software solution by Oracle.", "N/A","Technology","No committable file type."
255,Oracle GoldenGate,"Real-time data integration and replication software by Oracle.", "N/A","Technology","No file extension."
256,Oracle Identity Management,"A suite for managing digital identities and access.", "N/A","Technology","No associated file extension."
257,Oracle Webcenter,"An enterprise portal and collaboration solution by Oracle.", "N/A","Technology","No file extension."
258,Parasoft,"A provider of software testing and quality assurance solutions.", "N/A","Technology","No file extension."
259,Pega / PegaRules Process Commander PRPC,"Pega's BPM and case management platform for enterprises.", "N/A","Technology","No associated file extension."
260,Perfecto - Mobile Automation, Performance and Monitoring,"A cloud-based platform for mobile application testing and monitoring.", "N/A","Technology","No file extension."
261,Performance Engineering/ Architect,"A role focused on designing systems for optimal performance.", "N/A","Method","Job role – no file extension."
262,Performance Testing,"Testing methods that evaluate system performance under load.", "N/A","Method","Methodology; not file-based."
263,Performance Tuning and Capacity Monitoring Engineer,"A role dedicated to optimizing performance and monitoring system capacity.", "N/A","Method","Job role – no file extension."
264,Peripro,"A financial software product with unclear specifics.", "N/A","Technology","No associated file extension."
265,Portal Technologies - IBM WPS/Backbase,"Portal solutions for web experience management.", "N/A","Technology","No file extension."
266,Power Builder,"A rapid application development tool from SAP.", ".pbl (ambiguous)","Technology",".pbl files are used for PowerBuilder libraries."
267,Puppet,"An IT automation and configuration management tool.", ".pp (ambiguous)","Technology","Puppet manifest files use .pp, though it is common."
268,Python,"A high-level programming language known for its readability.", ".py (exclusive)","Technology",".py is exclusive to Python scripts."
269,QlikView,"A business intelligence platform for interactive data visualization.", "N/A","Technology","No file extension."
270,Quartz,"A job scheduling library for Java applications.", ".properties (ambiguous)","Technology","Uses configuration files; extension is generic."
271,R (Statistical Computing),"A programming language for statistical analysis and graphics.", ".R (exclusive), .r (ambiguous)","Technology",".R is exclusive for scripts; .r may be used generically."
272,RDF (Resource Description Framework),"A framework for representing information on the web.", ".rdf (exclusive)","Technology","File extension is exclusive to RDF data."
273,ReactJS,"A JavaScript library for building user interfaces.", ".jsx (ambiguous), .js (ambiguous)","Technology","JSX is common in React; .js is generic."
274,Real Time Impact,"An ambiguous term likely referring to a real-time monitoring tool.", "N/A","Technology","No file extension due to unclear context."
